Departamento,Municipio,Tipo_Cultivo,Cultivo,Hectareas_sembradas,Hectareas_cosechadas,Toneladas
Amazonas,Leticia,Cereales,Arroz,30,29,43
Amazonas,Leticia,Cereales,Maiz,50,43,21
Amazonas,Leticia,Frutales,Araza,22,19,188
Amazonas,Leticia,Frutales,Asai,63,56,225
Amazonas,Leticia,Frutales,Caimo,55,55,55
Amazonas,Leticia,Frutales,Chontaduro,69,61,152
Amazonas,Leticia,Frutales,Copoazu,38,37,204
Amazonas,Leticia,Frutales,Uva Caimarona,36,24,3
Amazonas,Leticia,Hortalizas,Cilantro,1,1,5
Amazonas,Leticia,Hortalizas,Pepino Cohombro,1,1,1
Amazonas,Leticia,Otros Permanentes,Cacao,52,0,0
Amazonas,Leticia,Tuberculos Y Platanos,Platano,300,30,150
Amazonas,Leticia,Tuberculos Y Platanos,Yuca,976,919,6235
Amazonas,Puerto Narino,Cereales,Arroz,32,28,84
Amazonas,Puerto Narino,Cereales,Maiz,19,15,15
Amazonas,Puerto Narino,Frutales,Araza,14,8,84
Amazonas,Puerto Narino,Frutales,Asai,42,18,73
Amazonas,Puerto Narino,Frutales,Copoazu,34,23,47
Amazonas,Puerto Narino,Frutales,Frutales Varios,379,315,1575
Amazonas,Puerto Narino,Frutales,Uva Caimarona,19,7,1
Amazonas,Puerto Narino,Hortalizas,Aji,4,2,8
Amazonas,Puerto Narino,Hortalizas,Pimenton,2,2,1
Amazonas,Puerto Narino,Leguminosas,Frijol,5,4,3
Amazonas,Puerto Narino,Oleaginosas,Sacha Inchi,64,60,30
Amazonas,Puerto Narino,Otros Permanentes,Cacao,98,29,15
Amazonas,Puerto Narino,Otros Permanentes,Cana Panelera,4,4,16
Amazonas,Puerto Narino,Tuberculos Y Platanos,Platano,332,95,475
Amazonas,Puerto Narino,Tuberculos Y Platanos,Yuca,702,662,4332
Antioquia,Abejorral,Cereales,Maiz,200,200,400
Antioquia,Abejorral,Flores Y Follajes,Hortensia,130,120,3000
Antioquia,Abejorral,Frutales,Aguacate,506,446,8474
Antioquia,Abejorral,Frutales,Lulo,25,25,125
Antioquia,Abejorral,Frutales,Mora,6,6,48
Antioquia,Abejorral,Frutales,Tomate De Arbol,100,100,2500
Antioquia,Abejorral,Leguminosas,Frijol,250,250,375
Antioquia,Abejorral,Otros Permanentes,Cacao,5,5,2
Antioquia,Abejorral,Otros Permanentes,Cafe,3388,2752,5018
Antioquia,Abejorral,Otros Permanentes,Cana Panelera,215,210,1155
Antioquia,Abejorral,Tuberculos Y Platanos,Papa,160,156,1560
Antioquia,Abejorral,Tuberculos Y Platanos,Platano,2031,2031,9140
Antioquia,Abriaqui,Cereales,Maiz,26,26,21
Antioquia,Abriaqui,Frutales,Aguacate,48,3,15
Antioquia,Abriaqui,Frutales,Granadilla,38,33,198
Antioquia,Abriaqui,Frutales,Lulo,8,5,13
Antioquia,Abriaqui,Frutales,Tomate De Arbol,7,5,100
Antioquia,Abriaqui,Leguminosas,Frijol,38,38,47
Antioquia,Abriaqui,Otros Permanentes,Cafe,118,100,182
Antioquia,Abriaqui,Otros Permanentes,Cana Panelera,127,119,476
Antioquia,Alejandria,Fibras,Fique,5,5,11
Antioquia,Alejandria,Leguminosas,Frijol,70,70,66
Antioquia,Alejandria,Oleaginosas,Sacha Inchi,8,3,12
Antioquia,Alejandria,Otros Permanentes,Cafe,716,623,788
Antioquia,Alejandria,Otros Permanentes,Cana Panelera,227,207,1346
Antioquia,Alejandria,Tuberculos Y Platanos,Platano,105,75,218
Antioquia,Alejandria,Tuberculos Y Platanos,Yuca,15,15,203
Antioquia,Amaga,Cereales,Maiz,31,31,28
Antioquia,Amaga,Frutales,Aguacate,129,129,1290
Antioquia,Amaga,Frutales,Maracuya,3,3,38
Antioquia,Amaga,Hortalizas,Lechuga,2,2,26
Antioquia,Amaga,Hortalizas,Tomate,12,12,299
Antioquia,Amaga,Otros Permanentes,Cafe,671,574,822
Antioquia,Amaga,Otros Permanentes,Cana Panelera,75,70,203
Antioquia,Amaga,Tuberculos Y Platanos,Platano,47,40,150
Antioquia,Amaga,Tuberculos Y Platanos,Yuca,16,16,233
Antioquia,Amalfi,Cereales,Maiz,150,130,143
Antioquia,Amalfi,Fibras,Fique,1206,156,187
Antioquia,Amalfi,Forestales,Caucho,56,7,6
Antioquia,Amalfi,Leguminosas,Frijol,180,170,154
Antioquia,Amalfi,Otros Permanentes,Cacao,707,668,334
Antioquia,Amalfi,Otros Permanentes,Cafe,1891,1574,1194
Antioquia,Amalfi,Otros Permanentes,Cana Panelera,744,729,2916
Antioquia,Amalfi,Tuberculos Y Platanos,Platano,435,434,1172
Antioquia,Amalfi,Tuberculos Y Platanos,Yuca,100,95,1140
Antioquia,Andes,Cereales,Maiz,30,28,49
Antioquia,Andes,Frutales,Banano,1032,1012,35420
Antioquia,Andes,Frutales,Gulupa,27,22,660
Antioquia,Andes,Frutales,Maracuya,3,3,38
Antioquia,Andes,Hortalizas,Tomate,18,18,1380
Antioquia,Andes,Leguminosas,Frijol,10,10,8
Antioquia,Andes,Leguminosas,Habichuela,2,2,10
Antioquia,Andes,Otros Permanentes,Cafe,10349,7487,9463
Antioquia,Andes,Otros Permanentes,Cana Panelera,280,280,1960
Antioquia,Andes,Tuberculos Y Platanos,Platano,1010,995,4975
Antioquia,Andes,Tuberculos Y Platanos,Yuca,25,25,275
Antioquia,Angelopolis,Cereales,Maiz,39,34,67
Antioquia,Angelopolis,Frutales,Aguacate,28,28,140
Antioquia,Angelopolis,Frutales,Lulo,8,8,160
Antioquia,Angelopolis,Frutales,Mandarina,19,19,372
Antioquia,Angelopolis,Frutales,Mora,9,9,9
Antioquia,Angelopolis,Leguminosas,Frijol,30,28,33
Antioquia,Angelopolis,Otros Permanentes,Cafe,278,248,292
Antioquia,Angelopolis,Otros Permanentes,Cana Panelera,68,66,277
Antioquia,Angelopolis,Tuberculos Y Platanos,Platano,213,156,467
Antioquia,Angelopolis,Tuberculos Y Platanos,Yuca,16,16,144
Antioquia,Angostura,Cereales,Maiz,28,28,63
Antioquia,Angostura,Frutales,Aguacate,44,14,168
Antioquia,Angostura,Frutales,Lulo,25,25,163
Antioquia,Angostura,Leguminosas,Frijol,103,103,144
Antioquia,Angostura,Otros Permanentes,Cafe,848,724,1220
Antioquia,Angostura,Otros Permanentes,Cana Panelera,1438,1438,11504
Antioquia,Angostura,Tuberculos Y Platanos,Platano,378,378,1134
Antioquia,Anori,Cereales,Maiz,110,110,132
Antioquia,Anori,Fibras,Fique,66,7,5
Antioquia,Anori,Leguminosas,Frijol,80,80,64
Antioquia,Anori,Otros Permanentes,Cacao,235,210,147
Antioquia,Anori,Otros Permanentes,Cafe,281,235,238
Antioquia,Anori,Otros Permanentes,Cana Panelera,721,715,3575
Antioquia,Anori,Tuberculos Y Platanos,Platano,90,88,352
Antioquia,Anori,Tuberculos Y Platanos,Yuca,120,120,960
Antioquia,Anza,Cereales,Maiz,21,18,15
Antioquia,Anza,Frutales,Aguacate,30,2,15
Antioquia,Anza,Frutales,Guanabana,78,70,1750
Antioquia,Anza,Frutales,Mango,530,385,5005
Antioquia,Anza,Frutales,Naranja,17,15,375
Antioquia,Anza,Leguminosas,Frijol,22,19,16
Antioquia,Anza,Otros Permanentes,Cafe,1882,1594,2418
Antioquia,Anza,Otros Permanentes,Cana Panelera,21,21,41
Antioquia,Anza,Tuberculos Y Platanos,Platano,122,117,448
Antioquia,Apartado,Cereales,Arroz,1170,1107,1993
Antioquia,Apartado,Cereales,Maiz,1439,1350,1835
Antioquia,Apartado,Flores Y Follajes,Heliconia,1,1,7
Antioquia,Apartado,Frutales,Aguacate,110,100,1500
Antioquia,Apartado,Frutales,Bananito,137,137,2321
Antioquia,Apartado,Frutales,Banano,10437,10437,356990
Antioquia,Apartado,Hortalizas,Cebolla De Rama,6,6,174
Antioquia,Apartado,Otros Permanentes,Cacao,2014,1404,702
Antioquia,Apartado,Tuberculos Y Platanos,Platano,904,831,11914
Antioquia,Apartado,Tuberculos Y Platanos,Yuca,315,300,3300
Antioquia,Arboletes,Cereales,Arroz,850,760,760
Antioquia,Arboletes,Cereales,Maiz,2050,1970,3540
